name,busmap
4683,NL1 2
4687,NL1 5
5061,NL1 0
5062,NL1 0
5086,NL1 3
5087,NL1 3
5088,NL1 0
5089,NL1 0
5090,NL1 0
5091,NL1 0
5092,NL1 0
5093,NL1 0
5094,NL1 3
5095,NL1 4
5105,NL1 5
5106,NL1 5
5749,NL1 1
5751,NL1 1
5753,NL1 1
5754,NL1 1
5755,NL1 2
5756,NL1 1
5758,NL1 2
5759,NL1 2
5760,NL1 2
5762,NL1 1
5763,NL1 1
5765,NL1 1
5767,NL1 1
5890,NL1 3
5891,NL1 3
8622,NO2 0
6356,NO2 0
6358,NO2 0
6360,NO2 0
6363,NO2 0
6365,NO2 0
6373,NO2 0
6626,NO2 0
6647,NO2 0
6648,NO2 0
6649,NO2 0
6650,NO2 0
6652,NO2 0
6653,NO2 0
6654,NO2 0
6656,NO2 0
6661,NO2 0
6663,NO2 0
6665,NO2 0
6668,NO2 0
6669,NO2 0
6673,NO2 0
6674,NO2 0
6676,NO2 0
6678,NO2 0
6682,NO2 0
6683,NO2 0
6687,NO2 0
6690,NO2 0
6691,NO2 0
6693,NO2 0
6695,NO2 0
6698,NO2 0
6699,NO2 0
6703,NO2 0
6704,NO2 0
6705,NO2 0
6706,NO2 0
6707,NO2 0
6709,NO2 0
6710,NO2 0
6711,NO2 0
6712,NO2 0
6714,NO2 0
6715,NO2 0
6716,NO2 0
6718,NO2 0
6719,NO2 0
6720,NO2 0
6721,NO2 0
6722,NO2 0
6723,NO2 0
6724,NO2 0
6725,NO2 0
6727,NO2 0
6728,NO2 0
6730,NO2 0
6731,NO2 0
6732,NO2 0
6734,NO2 0
6736,NO2 0
6737,NO2 0
6738,NO2 0
6740,NO2 0
6742,NO2 0
6743,NO2 0
6745,NO2 0
6746,NO2 0
6747,NO2 0
6748,NO2 0
6749,NO2 0
6751,NO2 0
6752,NO2 0
6812,NO2 0
6814,NO2 0
6873,NO2 0
6856,NO2 0
6857,NO2 0
6860,NO2 0
6861,NO2 0
6862,NO2 0
6863,NO2 0
6864,NO2 0
6866,NO2 0
6867,NO2 0
6869,NO2 0
6871,NO2 0
6874,NO2 0
6936,NO2 0
6937,NO2 0
6938,NO2 0
6940,NO2 0
6942,NO2 0
8448,NO2 0
8460,NO2 0
7887,NO2 0
8611,NO2 0
