Generator,name,busmap
off_NL_1 offwind-ac,off_NL_1,off_NL_1
off_NL_1 offwind-float,off_NL_1,off_NL_1
off_NL_1 offwind-dc,off_NL_1,off_NL_1
5061 offwind-ac,5061,off_NL_4
5061 offwind-float,5061,off_NL_4
5061 offwind-dc,5061,off_NL_4
5088 offwind-ac,5088,off_NL_4
5088 offwind-float,5088,off_NL_4
5088 offwind-dc,5088,off_NL_4
5089 offwind-ac,5089,off_NL_4
5089 offwind-float,5089,off_NL_4
5890 offwind-ac,5890,off_NL_4
5890 offwind-float,5890,off_NL_4
5890 offwind-dc,5890,off_NL_4
5749 offwind-ac,5749,off_NL_7
5749 offwind-float,5749,off_NL_7
5751 offwind-ac,5751,off_NL_7
5751 offwind-float,5751,off_NL_7
5751 offwind-dc,5751,off_NL_7
5753 offwind-ac,5753,off_NL_7
5753 offwind-float,5753,off_NL_7
5754 offwind-ac,5754,off_NL_7
5754 offwind-float,5754,off_NL_7
5754 offwind-dc,5754,off_NL_7
5756 offwind-ac,5756,off_NL_7
5756 offwind-float,5756,off_NL_7
5756 offwind-dc,5756,off_NL_7
5762 offwind-ac,5762,off_NL_7
5762 offwind-float,5762,off_NL_7
5762 offwind-dc,5762,off_NL_7
5764 offwind-ac,5764,off_NL_7
5764 offwind-float,5764,off_NL_7
5765 offwind-ac,5765,off_NL_7
5765 offwind-float,5765,off_NL_7
off_NL_8 offwind-ac,off_NL_8,off_NL_8
off_NL_8 offwind-float,off_NL_8,off_NL_8
off_NL_8 offwind-dc,off_NL_8,off_NL_8
off_NL_9 offwind-ac,off_NL_9,off_NL_9
off_NL_9 offwind-float,off_NL_9,off_NL_9
off_NL_9 offwind-dc,off_NL_9,off_NL_9
5087 offwind-ac,5087,off_NL_11
5087 offwind-float,5087,off_NL_11
5087 offwind-dc,5087,off_NL_11
5891 offwind-ac,5891,off_NL_11
5891 offwind-float,5891,off_NL_11
5062 offwind-ac,5062,off_NL_13
5062 offwind-float,5062,off_NL_13
5062 offwind-dc,5062,off_NL_13
5063 offwind-ac,5063,off_NL_13
5063 offwind-float,5063,off_NL_13
5063 offwind-dc,5063,off_NL_13
5079 offwind-ac,5079,off_NL_13
5079 offwind-float,5079,off_NL_13
