Generator,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,build_year,lifetime,p_nom_max,p_max_pu,weight,grid_connection_cost,turbine_cost,control,type,p_min_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt
C129,OCGT,3377,100.0,100.0,True,0.41,53.524390243902445,45095.4415151225,2020,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C151,lignite,4620,75.61546989300784,75.61546989300784,False,0.3976,10.793762575452716,349976.5536298572,1999,23.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C152,lignite,4559,34.11917543952793,34.11917543952793,False,0.3856,11.020746887966805,349976.5536298572,1994,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C153,lignite,7023,52.56197297440789,52.56197297440789,False,0.2008,17.942231075697208,349976.5536298572,1991,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C154,coal,4855,13.829054348447617,13.829054348447617,False,0.3729,25.355725395548404,349976.5536298572,1996,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C155,lignite,7023,70.08263063254385,70.08263063254385,False,0.3808,11.115546218487395,349976.5536298572,1992,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C156,lignite,7023,118.03390422323176,118.03390422323176,False,0.3712,11.3125,349976.5536298572,1959,63.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C157,lignite,4714,14.75423802790397,14.75423802790397,False,0.2536,14.935331230283913,349976.5536298572,1984,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C158,lignite,4718,78.38188952323983,78.38188952323983,False,0.424,10.339622641509434,349976.5536298572,2010,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C160,lignite,4575,153.9973594162477,153.9973594162477,False,0.3741528455284553,11.250843097034384,349976.5536298572,1988,47.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C161,oil,5705,359.0,359.0,False,0.3824734632683658,136.7280237764288,37870.8074066883,1972,79.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C162,OCGT,4860,59.0,59.0,True,0.3927,55.684110007639426,45095.4415151225,2007,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C163,CCGT,4885,69.0,69.0,False,0.5805,38.82532299741602,99027.72929315244,2009,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C164,OCGT,4899,22.1,22.1,True,0.3773,57.773257354890006,45095.4415151225,1993,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C165,OCGT,4851,25.015,25.015,True,0.3915999999999999,55.82788559754854,45095.4415151225,2006,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C166,OCGT,3377,27.1,27.1,True,0.4058999999999999,54.01958610495197,45095.4415151225,2019,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C167,OCGT,4690,400.0,400.0,True,0.3956,55.30889787664308,45095.4415151225,2006,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C168,CCGT,4846,47.2,47.2,False,0.532002966101695,41.98174423966988,99027.72929315244,1971,82.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C169,CCGT,4883,78.0,78.0,False,0.5895,38.29669211195929,99027.72929315244,2011,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C170,OCGT,3804,140.0,140.0,True,0.3702285714285714,58.79078561506406,45095.4415151225,1954,100.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C171,coal,4698,385.0,385.0,False,0.33,28.196969696969695,349976.5536298572,1958,90.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C173,OCGT,4564,183.5,183.5,True,0.3472626702997275,62.38125738551568,45095.4415151225,1987,42.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C185,OCGT,4885,20.0,20.0,True,0.3795,57.46442687747036,45095.4415151225,1995,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C186,OCGT,4561,23.3,23.3,True,0.3773,57.773257354890006,45095.4415151225,1993,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C187,OCGT,4835,38.61,38.61,True,0.3982,54.97714716223004,45095.4415151225,2012,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C188,OCGT,4945,57.0,57.0,True,0.3927,55.684110007639426,45095.4415151225,2007,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C189,OCGT,4885,52.0,52.0,True,0.3993,54.838091660405716,45095.4415151225,2013,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C190,CCGT,4554,153.1,153.1,False,0.4667168517308949,47.26679719289309,99027.72929315244,2005,48.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C191,OCGT,3599,30.0,30.0,True,0.4037,54.2894476096111,45095.4415151225,2017,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C192,OCGT,5694,38.0,38.0,True,0.3993,54.838091660405716,45095.4415151225,2013,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C193,OCGT,3382,73.1,73.1,True,0.3872,56.4111570247934,45095.4415151225,2002,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C194,OCGT,4941,122.0,122.0,True,0.3847754098360656,56.73826545611023,45095.4415151225,1971,78.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C195,OCGT,4840,22.0,22.0,True,0.4026,54.42548435171386,45095.4415151225,2016,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C196,OCGT,4578,34.3,34.3,True,0.3828,57.00783699059562,45095.4415151225,1998,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C197,CCGT,4556,109.1,109.1,False,0.5556695692025665,40.372576498736876,99027.72929315244,1999,55.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C198,OCGT,4747,25.0,25.0,True,0.3784,57.618393234672304,45095.4415151225,1994,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C199,CCGT,4914,100.0,100.0,False,0.3825,56.749019607843145,99027.72929315244,1920,115.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C200,OCGT,4552,39.0,39.0,True,0.3806,57.31135049921178,45095.4415151225,1996,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C201,OCGT,4908,94.6,94.6,True,0.4138,53.0741904301595,45095.4415151225,2013,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C202,CCGT,4552,106.0,106.0,False,0.54,41.422222222222224,99027.72929315244,2000,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C203,CCGT,4550,140.5,140.5,False,0.63,36.10476190476191,99027.72929315244,1994,66.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C204,OCGT,3373,25.4,25.4,True,0.3806,57.31135049921178,45095.4415151225,1996,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C205,OCGT,4721,51.9,51.9,True,0.3696,58.88311688311689,45095.4415151225,1996,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C206,CCGT,4758,88.019,88.019,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C207,OCGT,5862,30.72,30.72,True,0.4112,53.38132295719845,45095.4415151225,2012,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C208,CCGT,4851,112.1,112.1,False,0.5355,41.735014005602245,99027.72929315244,1999,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C209,OCGT,4694,25.8,25.8,True,0.3839,56.857384735608235,45095.4415151225,1999,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C210,CCGT,4867,37.5,37.5,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C211,OCGT,4753,44.0,44.0,True,0.3993,54.838091660405716,45095.4415151225,2013,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C212,OCGT,5850,21.5,21.5,True,0.3904999999999999,55.972471190781064,45095.4415151225,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C213,CCGT,4554,135.7,135.7,False,0.4045025792188652,53.89065967098432,99027.72929315244,1994,56.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C214,CCGT,4550,100.0,100.0,False,0.6075,37.28641975308642,99027.72929315244,2015,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C215,OCGT,4860,37.0,37.0,True,0.3674,59.20876428960262,45095.4415151225,1984,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C216,OCGT,3801,30.7,30.7,True,0.3904,55.98565573770492,45095.4415151225,2004,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
